Term_PK	Term_Name	Identifier	Is_Leaf	Definition	Comment	Parent_term_type	Parent_term_name	Parent_term_ID	GrandParent_term_type	GrandParent_term_name	GrandParent_term_ID
"MS:1000729MS1"	"PROTEINEER"	"MS:1000729"	"1"	"Bruker PROTEINEER software."	\N	"IsA"	"Bruker software"	"MS:1000692"	"IsA"	"software"	"MS:1000531"
"MS:1000730MS1"	"PROTEINEER dp"	"MS:1000730"	"1"	"Bruker PROTEINEER dp software."	\N	"IsA"	"Bruker software"	"MS:1000692"	"IsA"	"software"	"MS:1000531"
"MS:1000731MS1"	"PROTEINEER fc"	"MS:1000731"	"1"	"Bruker PROTEINEER fc software."	\N	"IsA"	"Bruker software"	"MS:1000692"	"IsA"	"software"	"MS:1000531"
"MS:1000732MS1"	"PROTEINEER spII"	"MS:1000732"	"1"	"Bruker PROTEINEER spII software."	\N	"IsA"	"Bruker software"	"MS:1000692"	"IsA"	"software"	"MS:1000531"
"MS:1000733MS1"	"PROTEINEER-LC"	"MS:1000733"	"1"	"Bruker PROTEINEER-LC software."	\N	"IsA"	"Bruker software"	"MS:1000692"	"IsA"	"software"	"MS:1000531"
"MS:1000734MS1"	"ProteinScape"	"MS:1000734"	"1"	"Bruker ProteinScape software."	\N	"IsA"	"Bruker software"	"MS:1000692"	"IsA"	"software"	"MS:1000531"
"MS:1000734MS1"	"ProteinScape"	"MS:1000734"	"1"	"Bruker ProteinScape software."	\N	"IsA"	"analysis software"	"MS:1001456"	"IsA"	"software"	"MS:1000531"
"MS:1000735MS1"	"PureDisk"	"MS:1000735"	"1"	"BrukerPureDisk software."	\N	"IsA"	"Bruker software"	"MS:1000692"	"IsA"	"software"	"MS:1000531"
"MS:1000736MS1"	"QuantAnalysis"	"MS:1000736"	"1"	"Bruker software for data analysis."	\N	"IsA"	"Bruker software"	"MS:1000692"	"IsA"	"software"	"MS:1000531"
"MS:1000736MS1"	"QuantAnalysis"	"MS:1000736"	"1"	"Bruker software for data analysis."	\N	"IsA"	"analysis software"	"MS:1001456"	"IsA"	"software"	"MS:1000531"
"MS:1000736MS1"	"QuantAnalysis"	"MS:1000736"	"1"	"Bruker software for data analysis."	\N	"IsA"	"data processing software"	"MS:1001457"	"IsA"	"software"	"MS:1000531"
"MS:1000737MS1"	"spControl"	"MS:1000737"	"1"	"Bruker software for data acquisition."	\N	"IsA"	"Bruker software"	"MS:1000692"	"IsA"	"software"	"MS:1000531"
"MS:1000737MS1"	"spControl"	"MS:1000737"	"1"	"Bruker software for data acquisition."	\N	"IsA"	"acquisition software"	"MS:1001455"	"IsA"	"software"	"MS:1000531"
"MS:1000738MS1"	"TargetAnalysis"	"MS:1000738"	"1"	"Bruker TargetAnalysis software."	\N	"IsA"	"Bruker software"	"MS:1000692"	"IsA"	"software"	"MS:1000531"
"MS:1000739MS1"	"WARP-LC"	"MS:1000739"	"1"	"Bruker WARP-LC software."	\N	"IsA"	"Bruker software"	"MS:1000692"	"IsA"	"software"	"MS:1000531"
"MS:1000739MS1"	"WARP-LC"	"MS:1000739"	"1"	"Bruker WARP-LC software."	\N	"IsA"	"quantitation software name"	"MS:1001139"	"IsA"	"software"	"MS:1000531"
"MS:1000739MS1"	"WARP-LC"	"MS:1000739"	"1"	"Bruker WARP-LC software."	\N	"IsA"	"quantitation software name"	"MS:1001139"	"IsA"	"quantification information"	"MS:1001129"
"MS:1000740MS1"	"parameter file"	"MS:1000740"	"1"	"Parameter file used to configure the acquisition of raw data on the instrument."	\N	"IsA"	"mass spectrometer file format"	"MS:1000560"	"IsA"	"file format"	"MS:1001459"
"MS:1000741MS1"	"Conversion to dta"	"MS:1000741"	"1"	"Conversion to dta format."	\N	"IsA"	"file format conversion"	"MS:1000530"	"IsA"	"data transformation"	"MS:1000452"
"MS:1000742MS1"	"Bioworks SRF format"	"MS:1000742"	"1"	"Thermo Finnigan SRF file format."	\N	"IsA"	"mass spectrometer file format"	"MS:1000560"	"IsA"	"file format"	"MS:1001459"
"MS:1000742MS1"	"Bioworks SRF format"	"MS:1000742"	"1"	"Thermo Finnigan SRF file format."	\N	"IsA"	"intermediate analysis format"	"MS:1001040"	"IsA"	"file format"	"MS:1001459"
"MS:1000743MS1"	"TSQ Quantum Ultra AM"	"MS:1000743"	"1"	"Thermo Scientific TSQ Quantum Ultra AM."	\N	"IsA"	"Thermo Scientific instrument model"	"MS:1000494"	"IsA"	"Thermo Fisher Scientific instrument model"	"MS:1000483"
"MS:1000744MS1"	"selected ion m/z"	"MS:1000744"	"1"	"Mass-to-charge ratio of an selected ion."	\N	"IsA"	"ion selection attribute"	"MS:1000455"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000744MS1"	"selected ion m/z"	"MS:1000744"	"1"	"Mass-to-charge ratio of an selected ion."	\N	"IsA"	"ion selection attribute"	"MS:1000455"	"PartOf"	"spectrum"	"MS:1000442"
"MS:1000744MS1"	"selected ion m/z"	"MS:1000744"	"1"	"Mass-to-charge ratio of an selected ion."	\N	"HasUnits"	"m/z"	"MS:1000040"	"IsA"	"unit"	"UO:0000000"
"MS:1000745MS1"	"retention time alignment"	"MS:1000745"	"1"	"The correction of the spectrum scan times, as used e.g. in label-free proteomics."	\N	"IsA"	"data processing action"	"MS:1000543"	"IsA"	"data transformation"	"MS:1000452"
"MS:1000746MS1"	"high intensity data point removal"	"MS:1000746"	"1"	"The removal of very high intensity data points."	\N	"IsA"	"data filtering"	"MS:1001486"	"IsA"	"data processing action"	"MS:1000543"
"MS:1000747MS1"	"completion time"	"MS:1000747"	"1"	"The time that a data processing action was finished."	\N	"IsA"	"data processing parameter"	"MS:1000630"	"PartOf"	"spectrum generation information"	"MS:1001458"
"MS:1000748MS1"	"SSQ 7000"	"MS:1000748"	"1"	"ThermoFinnigan SSQ 7000 MS."	\N	"IsA"	"Finnigan MAT instrument model"	"MS:1000493"	"IsA"	"Thermo Fisher Scientific instrument model"	"MS:1000483"
"MS:1000749MS1"	"TSQ 7000"	"MS:1000749"	"1"	"ThermoFinnigan TSQ 7000 MS."	\N	"IsA"	"Finnigan MAT instrument model"	"MS:1000493"	"IsA"	"Thermo Fisher Scientific instrument model"	"MS:1000483"
"MS:1000750MS1"	"TSQ"	"MS:1000750"	"1"	"ThermoFinnigan TSQ MS."	\N	"IsA"	"Finnigan MAT instrument model"	"MS:1000493"	"IsA"	"Thermo Fisher Scientific instrument model"	"MS:1000483"
"MS:1000751MS1"	"TSQ Quantum Ultra"	"MS:1000751"	"1"	"Thermo Scientific TSQ Quantum Ultra."	\N	"IsA"	"Thermo Scientific instrument model"	"MS:1000494"	"IsA"	"Thermo Fisher Scientific instrument model"	"MS:1000483"
"MS:1000752MS1"	"TOPP software"	"MS:1000752"	"0"	"TOPP (The OpenMS proteomics pipeline) software."	\N	"IsA"	"analysis software"	"MS:1001456"	"IsA"	"software"	"MS:1000531"
"MS:1000752MS1"	"TOPP software"	"MS:1000752"	"0"	"TOPP (The OpenMS proteomics pipeline) software."	\N	"IsA"	"data processing software"	"MS:1001457"	"IsA"	"software"	"MS:1000531"
"MS:1000753MS1"	"BaselineFilter"	"MS:1000753"	"1"	"Removes the baseline from profile spectra using a top-hat filter."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000753MS1"	"BaselineFilter"	"MS:1000753"	"1"	"Removes the baseline from profile spectra using a top-hat filter."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000754MS1"	"DBExporter"	"MS:1000754"	"1"	"Exports data from an OpenMS database to a file."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000754MS1"	"DBExporter"	"MS:1000754"	"1"	"Exports data from an OpenMS database to a file."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000755MS1"	"DBImporter"	"MS:1000755"	"1"	"Imports data to an OpenMS database."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000755MS1"	"DBImporter"	"MS:1000755"	"1"	"Imports data to an OpenMS database."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000756MS1"	"FileConverter"	"MS:1000756"	"1"	"Converts between different MS file formats."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000756MS1"	"FileConverter"	"MS:1000756"	"1"	"Converts between different MS file formats."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000757MS1"	"FileFilter"	"MS:1000757"	"1"	"Extracts or manipulates portions of data from peak, feature or consensus feature files."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000757MS1"	"FileFilter"	"MS:1000757"	"1"	"Extracts or manipulates portions of data from peak, feature or consensus feature files."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000758MS1"	"FileMerger"	"MS:1000758"	"1"	"Merges several MS files into one file."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000758MS1"	"FileMerger"	"MS:1000758"	"1"	"Merges several MS files into one file."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000759MS1"	"InternalCalibration"	"MS:1000759"	"1"	"Applies an internal calibration."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000759MS1"	"InternalCalibration"	"MS:1000759"	"1"	"Applies an internal calibration."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000760MS1"	"MapAligner"	"MS:1000760"	"1"	"OBSOLETE Corrects retention time distortions between maps."	"This term was made obsolete, because it is replaced by the terms under the 'TOPP map aligner' (MS:1002147) branch."	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000760MS1"	"MapAligner"	"MS:1000760"	"1"	"OBSOLETE Corrects retention time distortions between maps."	"This term was made obsolete, because it is replaced by the terms under the 'TOPP map aligner' (MS:1002147) branch."	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000761MS1"	"MapNormalizer"	"MS:1000761"	"1"	"Normalizes peak intensities in an MS run."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000761MS1"	"MapNormalizer"	"MS:1000761"	"1"	"Normalizes peak intensities in an MS run."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000762MS1"	"NoiseFilter"	"MS:1000762"	"1"	"OBSOLETE Removes noise from profile spectra by using different smoothing techniques."	"This term was made obsolete, because it is replaced by the terms under the 'TOPP noise filter' (MS:1002131) branch."	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000762MS1"	"NoiseFilter"	"MS:1000762"	"1"	"OBSOLETE Removes noise from profile spectra by using different smoothing techniques."	"This term was made obsolete, because it is replaced by the terms under the 'TOPP noise filter' (MS:1002131) branch."	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000763MS1"	"PeakPicker"	"MS:1000763"	"1"	"OBSOLETE Finds mass spectrometric peaks in profile mass spectra."	"This term was made obsolete, because it is replaced by the terms under the 'TOPP peak picker' (MS:1002134) branch."	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000763MS1"	"PeakPicker"	"MS:1000763"	"1"	"OBSOLETE Finds mass spectrometric peaks in profile mass spectra."	"This term was made obsolete, because it is replaced by the terms under the 'TOPP peak picker' (MS:1002134) branch."	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000764MS1"	"Resampler"	"MS:1000764"	"1"	"Transforms an LC/MS map into a resampled map or a png image."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000764MS1"	"Resampler"	"MS:1000764"	"1"	"Transforms an LC/MS map into a resampled map or a png image."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000765MS1"	"SpectraFilter"	"MS:1000765"	"1"	"OBSOLETE Applies a filter to peak spectra."	"This term was made obsolete, because it is replaced by the terms under the 'TOPP spectra filter' (MS:1002137) branch."	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000765MS1"	"SpectraFilter"	"MS:1000765"	"1"	"OBSOLETE Applies a filter to peak spectra."	"This term was made obsolete, because it is replaced by the terms under the 'TOPP spectra filter' (MS:1002137) branch."	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000766MS1"	"TOFCalibration"	"MS:1000766"	"1"	"Applies time of flight calibration."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"analysis software"	"MS:1001456"
"MS:1000766MS1"	"TOFCalibration"	"MS:1000766"	"1"	"Applies time of flight calibration."	\N	"IsA"	"TOPP software"	"MS:1000752"	"IsA"	"data processing software"	"MS:1001457"
"MS:1000767MS1"	"native spectrum identifier format"	"MS:1000767"	"0"	"Describes how the native spectrum identifiers are formated."	\N	"PartOf"	"source data file"	"MS:1000577"	"PartOf"	"spectrum generation information"	"MS:1001458"
"MS:1000767MS1"	"native spectrum identifier format"	"MS:1000767"	"0"	"Describes how the native spectrum identifiers are formated."	\N	"PartOf"	"source data file"	"MS:1000577"	"IsA"	"spectrum attribute"	"MS:1000499"
"MS:1000768MS1"	"Thermo nativeID format"	"MS:1000768"	"1"	"Native format defined by controllerType=xsd:nonNegativeInteger controllerNumber=xsd:positiveInteger scan=xsd:positiveInteger."	\N	"IsA"	"native spectrum identifier format"	"MS:1000767"	"PartOf"	"source data file"	"MS:1000577"
"MS:1000769MS1"	"Waters nativeID format"	"MS:1000769"	"1"	"Native format defined by function=xsd:positiveInteger process=xsd:nonNegativeInteger scan=xsd:nonNegativeInteger."	\N	"IsA"	"native spectrum identifier format"	"MS:1000767"	"PartOf"	"source data file"	"MS:1000577"
"MS:1000770MS1"	"WIFF nativeID format"	"MS:1000770"	"1"	"Native format defined by sample=xsd:nonNegativeInteger period=xsd:nonNegativeInteger cycle=xsd:nonNegativeInteger experiment=xsd:nonNegativeInteger."	\N	"IsA"	"native spectrum identifier format"	"MS:1000767"	"PartOf"	"source data file"	"MS:1000577"
"MS:1000771MS1"	"Bruker/Agilent YEP nativeID format"	"MS:1000771"	"1"	"Native format defined by scan=xsd:nonNegativeInteger."	\N	"IsA"	"native spectrum identifier format"	"MS:1000767"	"PartOf"	"source data file"	"MS:1000577"
"MS:1000772MS1"	"Bruker BAF nativeID format"	"MS:1000772"	"1"	"Native format defined by scan=xsd:nonNegativeInteger."	\N	"IsA"	"native spectrum identifier format"	"MS:1000767"	"PartOf"	"source data file"	"MS:1000577"
"MS:1000773MS1"	"Bruker FID nativeID format"	"MS:1000773"	"1"	"Native format defined by file=xsd:IDREF."	"The nativeID must be the same as the source file ID."	"IsA"	"native spectrum identifier format"	"MS:1000767"	"PartOf"	"source data file"	"MS:1000577"
"MS:1000774MS1"	"multiple peak list nativeID format"	"MS:1000774"	"1"	"Native format defined by index=xsd:nonNegativeInteger."	"Used for conversion of peak list files with multiple spectra, i.e. MGF, PKL, merged DTA files. Index is the spectrum number in the file, starting from 0."	"IsA"	"native spectrum identifier format"	"MS:1000767"	"PartOf"	"source data file"	"MS:1000577"
"MS:1000775MS1"	"single peak list nativeID format"	"MS:1000775"	"1"	"Native format defined by file=xsd:IDREF."	"The nativeID must be the same as the source file ID. Used for conversion of peak list files with one spectrum per file, typically folder of PKL or DTAs, each sourceFileRef is different."	"IsA"	"native spectrum identifier format"	"MS:1000767"	"PartOf"	"source data file"	"MS:1000577"
"MS:1000776MS1"	"scan number only nativeID format"	"MS:1000776"	"1"	"Native format defined by scan=xsd:nonNegativeInteger."	"Used for conversion from mzXML, or DTA folder where native scan numbers can be derived."	"IsA"	"native spectrum identifier format"	"MS:1000767"	"PartOf"	"source data file"	"MS:1000577"
"MS:1000777MS1"	"spectrum identifier nativeID format"	"MS:1000777"	"1"	"Native format defined by spectrum=xsd:nonNegativeInteger."	"Used for conversion from mzData. The spectrum id attribute is referenced."	"IsA"	"native spectrum identifier format"	"MS:1000767"	"PartOf"	"source data file"	"MS:1000577"
"MS:1000778MS1"	"charge state calculation"	"MS:1000778"	"0"	"A process that infers the charge state of an MSn spectrum's precursor(s) by the application of some algorithm."	\N	"IsA"	"data processing action"	"MS:1000543"	"IsA"	"data transformation"	"MS:1000452"
"MS:1000779MS1"	"below precursor intensity dominance charge state calculation"	"MS:1000779"	"1"	"Infers charge state as single or ambiguously multiple by determining the fraction of intensity below the precursor m/z."	\N	"IsA"	"charge state calculation"	"MS:1000778"	"IsA"	"data processing action"	"MS:1000543"
"MS:1000780MS1"	"precursor recalculation"	"MS:1000780"	"0"	"A process that recalculates existing precursor selected ions with one or more algorithmically determined precursor selected ions."	\N	"IsA"	"data processing action"	"MS:1000543"	"IsA"	"data transformation"	"MS:1000452"
"MS:1000781MS1"	"msPrefix precursor recalculation"	"MS:1000781"	"1"	"Recalculates one or more precursor selected ions by peak detection in the isolation windows of high accuracy MS precursor scans."	\N	"IsA"	"precursor recalculation"	"MS:1000780"	"IsA"	"data processing action"	"MS:1000543"
"MS:1000782MS1"	"Savitzky-Golay smoothing"	"MS:1000782"	"1"	"Reduces intensity spikes by applying local polynomial regression (of degree k) on a distribution (of at least k+1 equally spaced points) to determine the smoothed value for each point. It tends to preserve features of the distribution such as relative maxima, minima and width, which are usually 'flattened' by other adjacent averaging techniques."	\N	"IsA"	"smoothing"	"MS:1000592"	"IsA"	"data processing action"	"MS:1000543"
"MS:1000783MS1"	"LOWESS smoothing"	"MS:1000783"	"1"	"Reduces intensity spikes by applying a modelling method known as locally weighted polynomial regression. At each point in the data set a low-degree polynomial is fit to a subset of the data, with explanatory variable values near the point whose response is being estimated. The polynomial is fit using weighted least squares, giving more weight to points near the point whose response is being estimated and less weight to points further away. The value of the regression function for the point is then obtained by evaluating the local polynomial using the explanatory variable values for that data point. The LOESS fit is complete after regression function values have been computed for each of the n data points. Many of the details of this method, such as the degree of the polynomial model and the weights, are flexible."	\N	"IsA"	"smoothing"	"MS:1000592"	"IsA"	"data processing action"	"MS:1000543"
"MS:1000784MS1"	"Gaussian smoothing"	"MS:1000784"	"1"	"Reduces intensity spikes by convolving the data with a one-dimensional Gaussian function."	\N	"IsA"	"smoothing"	"MS:1000592"	"IsA"	"data processing action"	"MS:1000543"
"MS:1000785MS1"	"moving average smoothing"	"MS:1000785"	"1"	"Reduces intensity spikes by averaging each point with two or more adjacent points. The more adjacent points that used, the stronger the smoothing effect."	\N	"IsA"	"smoothing"	"MS:1000592"	"IsA"	"data processing action"	"MS:1000543"
"MS:1000786MS1"	"non-standard data array"	"MS:1000786"	"1"	"A data array that contains data not covered by any other term in this group. Please do not use this term, if the binary data array type might be commonly used - contact the PSI-MS working group in order to have another CV term added."	\N	"IsA"	"binary data array"	"MS:1000513"	"PartOf"	"spectrum"	"MS:1000442"
"MS:1000786MS1"	"non-standard data array"	"MS:1000786"	"1"	"A data array that contains data not covered by any other term in this group. Please do not use this term, if the binary data array type might be commonly used - contact the PSI-MS working group in order to have another CV term added."	\N	"IsA"	"binary data array"	"MS:1000513"	"PartOf"	"chromatogram"	"MS:1000625"
"MS:1000787MS1"	"inclusive low intensity threshold"	"MS:1000787"	"1"	"Threshold at or below which some action is taken."	\N	"IsA"	"data processing parameter"	"MS:1000630"	"PartOf"	"spectrum generation information"	"MS:1001458"
"MS:1000787MS1"	"inclusive low intensity threshold"	"MS:1000787"	"1"	"Threshold at or below which some action is taken."	\N	"HasUnits"	"number of detector counts"	"MS:1000131"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000787MS1"	"inclusive low intensity threshold"	"MS:1000787"	"1"	"Threshold at or below which some action is taken."	\N	"HasUnits"	"percent of base peak"	"MS:1000132"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000787MS1"	"inclusive low intensity threshold"	"MS:1000787"	"1"	"Threshold at or below which some action is taken."	\N	"HasUnits"	"counts per second"	"MS:1000814"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000787MS1"	"inclusive low intensity threshold"	"MS:1000787"	"1"	"Threshold at or below which some action is taken."	\N	"HasUnits"	"percent of base peak times 100"	"MS:1000905"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000787MS1"	"inclusive low intensity threshold"	"MS:1000787"	"1"	"Threshold at or below which some action is taken."	\N	"HasUnits"	"absorbance unit"	"UO:0000269"	"IsA"	"UO:0000186"	"UO:0000186"
"MS:1000788MS1"	"inclusive high intensity threshold"	"MS:1000788"	"1"	"Threshold at or above which some action is taken."	\N	"IsA"	"data processing parameter"	"MS:1000630"	"PartOf"	"spectrum generation information"	"MS:1001458"
"MS:1000788MS1"	"inclusive high intensity threshold"	"MS:1000788"	"1"	"Threshold at or above which some action is taken."	\N	"HasUnits"	"number of detector counts"	"MS:1000131"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000788MS1"	"inclusive high intensity threshold"	"MS:1000788"	"1"	"Threshold at or above which some action is taken."	\N	"HasUnits"	"percent of base peak"	"MS:1000132"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000788MS1"	"inclusive high intensity threshold"	"MS:1000788"	"1"	"Threshold at or above which some action is taken."	\N	"HasUnits"	"counts per second"	"MS:1000814"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000788MS1"	"inclusive high intensity threshold"	"MS:1000788"	"1"	"Threshold at or above which some action is taken."	\N	"HasUnits"	"percent of base peak times 100"	"MS:1000905"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000788MS1"	"inclusive high intensity threshold"	"MS:1000788"	"1"	"Threshold at or above which some action is taken."	\N	"HasUnits"	"absorbance unit"	"UO:0000269"	"IsA"	"UO:0000186"	"UO:0000186"
"MS:1000789MS1"	"enhanced multiply charged spectrum"	"MS:1000789"	"1"	"MS1 spectrum that is enriched in multiply-charged ions compared to singly-charged ions."	\N	"IsA"	"MS1 spectrum"	"MS:1000579"	"IsA"	"mass spectrum"	"MS:1000294"
"MS:1000790MS1"	"time-delayed fragmentation spectrum"	"MS:1000790"	"1"	"MSn spectrum in which the product ions are collected after a time delay, which allows the observation of lower energy fragmentation processes after precursor ion activation."	\N	"IsA"	"MSn spectrum"	"MS:1000580"	"IsA"	"mass spectrum"	"MS:1000294"
"MS:1000791MS1"	"enhanced resolution scan"	"MS:1000791"	"1"	"OBSOLETE Scan with enhanced resolution."	"This term was made obsolete because it was merged with zoom scan (MS:1000497)."	\N	\N	\N	\N	\N	\N
"MS:1000792MS1"	"isolation window attribute"	"MS:1000792"	"0"	"Isolation window parameter."	\N	"IsA"	"object attribute"	"MS:1000547"	"PartOf"	"spectrum generation information"	"MS:1001458"
"MS:1000792MS1"	"isolation window attribute"	"MS:1000792"	"0"	"Isolation window parameter."	\N	"PartOf"	"scan"	"MS:1000441"	"PartOf"	"spectrum generation information"	"MS:1001458"
"MS:1000793MS1"	"isolation window upper limit"	"MS:1000793"	"1"	"OBSOLETE The highest m/z being isolated in an isolation window."	"This term was obsoleted in favour of using a target, lower, upper offset scheme. See terms 1000827-1000829."	"IsA"	"isolation window attribute"	"MS:1000792"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000793MS1"	"isolation window upper limit"	"MS:1000793"	"1"	"OBSOLETE The highest m/z being isolated in an isolation window."	"This term was obsoleted in favour of using a target, lower, upper offset scheme. See terms 1000827-1000829."	"IsA"	"isolation window attribute"	"MS:1000792"	"PartOf"	"scan"	"MS:1000441"
"MS:1000793MS1"	"isolation window upper limit"	"MS:1000793"	"1"	"OBSOLETE The highest m/z being isolated in an isolation window."	"This term was obsoleted in favour of using a target, lower, upper offset scheme. See terms 1000827-1000829."	"HasUnits"	"m/z"	"MS:1000040"	"IsA"	"unit"	"UO:0000000"
"MS:1000794MS1"	"isolation window lower limit"	"MS:1000794"	"1"	"OBSOLETE The lowest m/z being isolated in an isolation window."	"This term was obsoleted in favour of using a target, lower, upper offset scheme. See terms 1000827-1000829."	"IsA"	"isolation window attribute"	"MS:1000792"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000794MS1"	"isolation window lower limit"	"MS:1000794"	"1"	"OBSOLETE The lowest m/z being isolated in an isolation window."	"This term was obsoleted in favour of using a target, lower, upper offset scheme. See terms 1000827-1000829."	"IsA"	"isolation window attribute"	"MS:1000792"	"PartOf"	"scan"	"MS:1000441"
"MS:1000794MS1"	"isolation window lower limit"	"MS:1000794"	"1"	"OBSOLETE The lowest m/z being isolated in an isolation window."	"This term was obsoleted in favour of using a target, lower, upper offset scheme. See terms 1000827-1000829."	"HasUnits"	"m/z"	"MS:1000040"	"IsA"	"unit"	"UO:0000000"
"MS:1000795MS1"	"no combination"	"MS:1000795"	"1"	"Use this term if only one scan was recorded or there is no information about scans available."	\N	"IsA"	"spectra combination"	"MS:1000570"	"PartOf"	"spectrum"	"MS:1000442"
"MS:1000796MS1"	"spectrum title"	"MS:1000796"	"1"	"Free-form text title describing a spectrum, usually a series of key value pairs as used in an MGF file."	"This is the preferred storage place for the spectrum TITLE from an MGF peak list."	"IsA"	"spectrum identification result details"	"MS:1001405"	"PartOf"	"spectrum interpretation"	"MS:1001000"
"MS:1000796MS1"	"spectrum title"	"MS:1000796"	"1"	"Free-form text title describing a spectrum, usually a series of key value pairs as used in an MGF file."	"This is the preferred storage place for the spectrum TITLE from an MGF peak list."	"IsA"	"spectrum attribute"	"MS:1000499"	"PartOf"	"spectrum"	"MS:1000442"
"MS:1000797MS1"	"peak list scans"	"MS:1000797"	"1"	"A list of scan numbers and or scan ranges associated with a peak list. If possible the list of scans should be converted to native spectrum identifiers instead of using this term."	"This is the preferred storage place for the spectrum SCANS attribute from an MGF peak list."	"IsA"	"spectrum identification result details"	"MS:1001405"	"PartOf"	"spectrum interpretation"	"MS:1001000"
"MS:1000797MS1"	"peak list scans"	"MS:1000797"	"1"	"A list of scan numbers and or scan ranges associated with a peak list. If possible the list of scans should be converted to native spectrum identifiers instead of using this term."	"This is the preferred storage place for the spectrum SCANS attribute from an MGF peak list."	"IsA"	"spectrum property"	"MS:1003058"	"PartOf"	"spectrum"	"MS:1000442"
"MS:1000798MS1"	"peak list raw scans"	"MS:1000798"	"1"	"A list of raw scans and or scan ranges used to generate a peak list. If possible the list of scans should be converted to native spectrum identifiers instead of using this term."	"This is the preferred storage place for the spectrum RAWSCANS attribute from an MGF peak list."	"IsA"	"spectrum identification result details"	"MS:1001405"	"PartOf"	"spectrum interpretation"	"MS:1001000"
"MS:1000798MS1"	"peak list raw scans"	"MS:1000798"	"1"	"A list of raw scans and or scan ranges used to generate a peak list. If possible the list of scans should be converted to native spectrum identifiers instead of using this term."	"This is the preferred storage place for the spectrum RAWSCANS attribute from an MGF peak list."	"IsA"	"spectrum property"	"MS:1003058"	"PartOf"	"spectrum"	"MS:1000442"
"MS:1000799MS1"	"custom unreleased software tool"	"MS:1000799"	"1"	"A software tool that has not yet been released. The value should describe the software. Please do not use this term for publicly available software - contact the PSI-MS working group in order to have another CV term added."	\N	"IsA"	"software"	"MS:1000531"	"PartOf"	"Proteomics Standards Initiative Mass Spectrometry Vocabularies"	"MS:0000000"
