Term_PK	Term_Name	Identifier	Is_Leaf	Parent_term_type	Parent_term_name	Parent_term_ID	GrandParent_term_type	GrandParent_term_name	GrandParent_term_ID
MS:1000913MS1	transition predicted by informatic analysis	MS:1000913	1	IsA	transition validation method	MS:1000909	PartOf	transition	MS:1000908
MS:1000914MS1	tab delimited text format	MS:1000914	0	IsA	file format	MS:1001459	PartOf	Proteomics Standards Initiative Mass Spectrometry Vocabularies	MS:0000000
MS:1000914MS1	tab delimited text format	MS:1000914	0	IsA	intermediate analysis format	MS:1001040	IsA	file format	MS:1001459
MS:1000915MS1	retention time window attribute	MS:1000915	0	PartOf	retention time	MS:1000894	IsA	peptidoform attribute	MS:1003050
MS:1000915MS1	retention time window attribute	MS:1000915	0	PartOf	retention time	MS:1000894	IsA	summary statistics of replicates	MS:1003295
MS:1000915MS1	retention time window attribute	MS:1000915	0	PartOf	retention time	MS:1000894	HasUnits	second	UO:0000010
MS:1000915MS1	retention time window attribute	MS:1000915	0	PartOf	retention time	MS:1000894	HasUnits	minute	UO:0000031
MS:1000916MS1	retention time window lower offset	MS:1000916	1	IsA	retention time window attribute	MS:1000915	PartOf	retention time	MS:1000894
MS:1000916MS1	retention time window lower offset	MS:1000916	1	HasUnits	second	UO:0000010	IsA	UO:0000003	UO:0000003
MS:1000916MS1	retention time window lower offset	MS:1000916	1	HasUnits	second	UO:0000010	IsA	UO:0000045	UO:0000045
MS:1000916MS1	retention time window lower offset	MS:1000916	1	HasUnits	minute	UO:0000031	IsA	UO:0000003	UO:0000003
MS:1000917MS1	retention time window upper offset	MS:1000917	1	IsA	retention time window attribute	MS:1000915	PartOf	retention time	MS:1000894
MS:1000917MS1	retention time window upper offset	MS:1000917	1	HasUnits	second	UO:0000010	IsA	UO:0000003	UO:0000003
MS:1000917MS1	retention time window upper offset	MS:1000917	1	HasUnits	second	UO:0000010	IsA	UO:0000045	UO:0000045
MS:1000917MS1	retention time window upper offset	MS:1000917	1	HasUnits	minute	UO:0000031	IsA	UO:0000003	UO:0000003
MS:1000918MS1	target list	MS:1000918	0	PartOf	spectrum generation information	MS:1001458	PartOf	Proteomics Standards Initiative Mass Spectrometry Vocabularies	MS:0000000
MS:1000919MS1	target inclusion exclusion priority	MS:1000919	0	PartOf	target list	MS:1000918	PartOf	spectrum generation information	MS:1001458
MS:1000920MS1	includes supersede excludes	MS:1000920	1	IsA	target inclusion exclusion priority	MS:1000919	PartOf	target list	MS:1000918
MS:1000921MS1	excludes supersede includes	MS:1000921	1	IsA	target inclusion exclusion priority	MS:1000919	PartOf	target list	MS:1000918
MS:1000922MS1	Skyline	MS:1000922	1	IsA	SRM software	MS:1000871	IsA	software	MS:1000531
MS:1000922MS1	Skyline	MS:1000922	1	IsA	quantitation software name	MS:1001139	IsA	software	MS:1000531
MS:1000922MS1	Skyline	MS:1000922	1	IsA	quantitation software name	MS:1001139	IsA	quantification information	MS:1001129
MS:1000923MS1	TIQAM	MS:1000923	1	IsA	SRM software	MS:1000871	IsA	software	MS:1000531
MS:1000924MS1	MaRiMba	MS:1000924	1						
MS:1000925MS1	ATAQS	MS:1000925	1	IsA	SRM software	MS:1000871	IsA	software	MS:1000531
MS:1000926MS1	product interpretation rank	MS:1000926	1	IsA	product ion attribute	MS:1001221	IsA	single identification result attribute	MS:1002694
MS:1000927MS1	ion injection time	MS:1000927	1	IsA	scan attribute	MS:1000503	IsA	object attribute	MS:1000547
MS:1000927MS1	ion injection time	MS:1000927	1	IsA	scan attribute	MS:1000503	PartOf	scan	MS:1000441
MS:1000927MS1	ion injection time	MS:1000927	1	HasUnits	millisecond	UO:0000028	IsA	UO:0000003	UO:0000003
MS:1000928MS1	calibration spectrum	MS:1000928	1	IsA	spectrum type	MS:1000559	PartOf	spectrum	MS:1000442
MS:1000929MS1	Shimadzu Biotech nativeID format	MS:1000929	1	IsA	native spectrum identifier format	MS:1000767	PartOf	source data file	MS:1000577
MS:1000930MS1	Shimadzu Biotech database entity	MS:1000930	1	IsA	mass spectrometer file format	MS:1000560	IsA	file format	MS:1001459
MS:1000931MS1	QTRAP 5500	MS:1000931	1	IsA	SCIEX instrument model	MS:1000121	IsA	instrument model	MS:1000031
MS:1000932MS1	TripleTOF 5600	MS:1000932	1	IsA	SCIEX instrument model	MS:1000121	IsA	instrument model	MS:1000031
MS:1000933MS1	protein modifications	MS:1000933	1	IsA	protein attribute	MS:1000884	PartOf	protein	MS:1000882
MS:1000933MS1	protein modifications	MS:1000933	1	IsA	protein attribute	MS:1000884	IsA	quantification object attribute	MS:1001806
MS:1000934MS1	gene name	MS:1000934	1	IsA	protein attribute	MS:1000884	PartOf	protein	MS:1000882
MS:1000934MS1	gene name	MS:1000934	1	IsA	protein attribute	MS:1000884	IsA	quantification object attribute	MS:1001806
MS:1000935MS1	6470A Triple Quadrupole LC/MS	MS:1000935	1	IsA	Agilent instrument model	MS:1000490	IsA	instrument model	MS:1000031
MS:1000936MS1	6470B Triple Quadrupole LC/MS	MS:1000936	1	IsA	Agilent instrument model	MS:1000490	IsA	instrument model	MS:1000031
MS:1000937MS1	6495C Triple Quadrupole LC/MS	MS:1000937	1	IsA	Agilent instrument model	MS:1000490	IsA	instrument model	MS:1000031
MS:1001000MS1	spectrum interpretation	MS:1001000	0	PartOf	Proteomics Standards Initiative Mass Spectrometry Vocabularies	MS:0000000			
MS:1001005MS1	SEQUEST:CleavesAt	MS:1001005	1	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001006MS1	SEQUEST:ViewCV	MS:1001006	0	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001007MS1	SEQUEST:OutputLines	MS:1001007	1	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001009MS1	SEQUEST:DescriptionLines	MS:1001009	1	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001010MS1	de novo search	MS:1001010	1	IsA	search type	MS:1001080	IsA	search input details	MS:1001249
MS:1001011MS1	search database details	MS:1001011	0	IsA	search input details	MS:1001249	PartOf	spectrum interpretation	MS:1001000
MS:1001012MS1	database source	MS:1001012	0	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001013MS1	database name	MS:1001013	0	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001014MS1	database local file path	MS:1001014	1	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001015MS1	database original uri	MS:1001015	1	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001016MS1	database version	MS:1001016	1	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001017MS1	release date	MS:1001017	1	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001017MS1	release date	MS:1001017	1	IsA	spectral library attribute	MS:1003171	PartOf	spectral library	MS:1003170
MS:1001018MS1	database type	MS:1001018	0	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001019MS1	database filtering	MS:1001019	0	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001020MS1	DB filter taxonomy	MS:1001020	1	IsA	Sequence database filter types	MS:1001511	IsA	database filtering	MS:1001019
MS:1001021MS1	DB filter on accession numbers	MS:1001021	1	IsA	Sequence database filter types	MS:1001511	IsA	database filtering	MS:1001019
MS:1001022MS1	DB MW filter	MS:1001022	1	IsA	Sequence database filter types	MS:1001511	IsA	database filtering	MS:1001019
MS:1001023MS1	DB PI filter	MS:1001023	1	IsA	Sequence database filter types	MS:1001511	IsA	database filtering	MS:1001019
MS:1001024MS1	translation frame	MS:1001024	1	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001025MS1	translation table	MS:1001025	1	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001026MS1	SEQUEST:NormalizeXCorrValues	MS:1001026	1	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001027MS1	DB filter on sequence pattern	MS:1001027	1	IsA	Sequence database filter types	MS:1001511	IsA	database filtering	MS:1001019
MS:1001028MS1	SEQUEST:SequenceHeaderFilter	MS:1001028	1	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001029MS1	number of sequences searched	MS:1001029	1	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001030MS1	number of peptide seqs compared to each spectrum	MS:1001030	1	IsA	search database details	MS:1001011	IsA	search input details	MS:1001249
MS:1001030MS1	number of peptide seqs compared to each spectrum	MS:1001030	1	IsA	spectrum identification result details	MS:1001405	PartOf	spectrum interpretation	MS:1001000
MS:1001031MS1	spectral library search	MS:1001031	1	IsA	search type	MS:1001080	IsA	search input details	MS:1001249
MS:1001032MS1	SEQUEST:SequencePartialFilter	MS:1001032	1	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001035MS1	date / time search performed	MS:1001035	1	IsA	search statistics	MS:1001184	IsA	spectrum identification result details	MS:1001405
MS:1001036MS1	search time taken	MS:1001036	1	IsA	search statistics	MS:1001184	IsA	spectrum identification result details	MS:1001405
MS:1001037MS1	SEQUEST:ShowFragmentIons	MS:1001037	1	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001038MS1	SEQUEST:Consensus	MS:1001038	1	IsA	SEQUEST:ViewCV	MS:1001006	IsA	SEQUEST input parameter	MS:1002096
MS:1001040MS1	intermediate analysis format	MS:1001040	0	IsA	file format	MS:1001459	PartOf	Proteomics Standards Initiative Mass Spectrometry Vocabularies	MS:0000000
MS:1001041MS1	SEQUEST:sortCV	MS:1001041	0	IsA	SEQUEST:ViewCV	MS:1001006	IsA	SEQUEST input parameter	MS:1002096
MS:1001042MS1	SEQUEST:LimitTo	MS:1001042	1	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001044MS1	cleavage agent details	MS:1001044	0	IsA	search input details	MS:1001249	PartOf	spectrum interpretation	MS:1001000
MS:1001045MS1	cleavage agent name	MS:1001045	0	IsA	cleavage agent details	MS:1001044	IsA	search input details	MS:1001249
MS:1001046MS1	SEQUEST:sort by dCn	MS:1001046	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001047MS1	SEQUEST:sort by dM	MS:1001047	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001048MS1	SEQUEST:sort by Ions	MS:1001048	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001049MS1	SEQUEST:sort by MH+	MS:1001049	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001050MS1	SEQUEST:sort by P	MS:1001050	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001051MS1	multiple enzyme combination rules	MS:1001051	1						
MS:1001052MS1	SEQUEST:sort by PreviousAminoAcid	MS:1001052	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001053MS1	SEQUEST:sort by Ref	MS:1001053	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001055MS1	modification parameters	MS:1001055	0	PartOf	spectrum interpretation	MS:1001000	PartOf	Proteomics Standards Initiative Mass Spectrometry Vocabularies	MS:0000000
MS:1001056MS1	modification specificity rule	MS:1001056	0	IsA	modification parameters	MS:1001055	PartOf	spectrum interpretation	MS:1001000
MS:1001057MS1	tolerance on types	MS:1001057	1	IsA	modification parameters	MS:1001055	PartOf	spectrum interpretation	MS:1001000
MS:1001058MS1	quality estimation by manual validation	MS:1001058	1	IsA	quality estimation method details	MS:1001060	IsA	search input details	MS:1001249
MS:1001059MS1	SEQUEST:sort by RSp	MS:1001059	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001060MS1	quality estimation method details	MS:1001060	0	IsA	search input details	MS:1001249	PartOf	spectrum interpretation	MS:1001000
MS:1001061MS1	neutral loss	MS:1001061	1	IsA	modification parameters	MS:1001055	PartOf	spectrum interpretation	MS:1001000
MS:1001062MS1	Mascot MGF format	MS:1001062	1	IsA	mass spectrometer file format	MS:1000560	IsA	file format	MS:1001459
MS:1001065MS1	TODOscoring model	MS:1001065	1	IsA	search input details	MS:1001249	PartOf	spectrum interpretation	MS:1001000
MS:1001066MS1	ions series considered in search	MS:1001066	0	IsA	search input details	MS:1001249	PartOf	spectrum interpretation	MS:1001000
MS:1001068MS1	SEQUEST:sort by Sp	MS:1001068	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001069MS1	SEQUEST:sort by TIC	MS:1001069	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001070MS1	SEQUEST:sort by Scan	MS:1001070	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001071MS1	SEQUEST:sort by Sequence	MS:1001071	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001072MS1	SEQUEST:sort by Sf	MS:1001072	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001073MS1	database type amino acid	MS:1001073	0	IsA	database type	MS:1001018	IsA	search database details	MS:1001011
MS:1001079MS1	database type nucleotide	MS:1001079	0	IsA	database type	MS:1001018	IsA	search database details	MS:1001011
MS:1001080MS1	search type	MS:1001080	0	IsA	search input details	MS:1001249	PartOf	spectrum interpretation	MS:1001000
MS:1001081MS1	pmf search	MS:1001081	1	IsA	search type	MS:1001080	IsA	search input details	MS:1001249
MS:1001082MS1	tag search	MS:1001082	1	IsA	search type	MS:1001080	IsA	search input details	MS:1001249
MS:1001083MS1	ms-ms search	MS:1001083	1	IsA	search type	MS:1001080	IsA	search input details	MS:1001249
MS:1001084MS1	database nr	MS:1001084	1	IsA	database name	MS:1001013	IsA	search database details	MS:1001011
MS:1001085MS1	protein-level identification attribute	MS:1001085	0	IsA	single identification result attribute	MS:1002694	IsA	identification attribute	MS:1002693
MS:1001086MS1	SEQUEST:sort by XCorr	MS:1001086	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001087MS1	SEQUEST:ProcessCV	MS:1001087	0	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001088MS1	protein description	MS:1001088	1	IsA	protein-level identification attribute	MS:1001085	IsA	single identification result attribute	MS:1002694
MS:1001088MS1	protein description	MS:1001088	1	IsA	database sequence details	MS:1001342	IsA	search database details	MS:1001011
MS:1001089MS1	molecule taxonomy	MS:1001089	0	IsA	protein-level identification attribute	MS:1001085	IsA	single identification result attribute	MS:1002694
MS:1001089MS1	molecule taxonomy	MS:1001089	0	IsA	database sequence details	MS:1001342	IsA	search database details	MS:1001011
MS:1001089MS1	molecule taxonomy	MS:1001089	0	IsA	Sequence database filters	MS:1001512	IsA	database filtering	MS:1001019
MS:1001090MS1	taxonomy nomenclature	MS:1001090	1	IsA	molecule taxonomy	MS:1001089	IsA	protein-level identification attribute	MS:1001085
MS:1001090MS1	taxonomy nomenclature	MS:1001090	1	IsA	molecule taxonomy	MS:1001089	IsA	database sequence details	MS:1001342
MS:1001090MS1	taxonomy nomenclature	MS:1001090	1	IsA	molecule taxonomy	MS:1001089	IsA	Sequence database filters	MS:1001512
MS:1001091MS1	NoEnzyme	MS:1001091	1	IsA	cleavage agent name	MS:1001045	IsA	cleavage agent details	MS:1001044
MS:1001092MS1	peptide sequence-level identification statistic	MS:1001092	0	IsA	peptide sequence-level identification attribute	MS:1001105	IsA	single identification result attribute	MS:1002694
MS:1001093MS1	sequence coverage	MS:1001093	1	IsA	protein-level identification attribute	MS:1001085	IsA	single identification result attribute	MS:1002694
MS:1001094MS1	SEQUEST:sort by z	MS:1001094	1	IsA	SEQUEST:sortCV	MS:1001041	IsA	SEQUEST:ViewCV	MS:1001006
MS:1001095MS1	SEQUEST:ProcessAll	MS:1001095	1	IsA	SEQUEST:ProcessCV	MS:1001087	IsA	SEQUEST input parameter	MS:1002096
MS:1001096MS1	SEQUEST:TopPercentMostIntense	MS:1001096	1	IsA	SEQUEST:ProcessCV	MS:1001087	IsA	SEQUEST input parameter	MS:1002096
MS:1001097MS1	distinct peptide sequences	MS:1001097	1	IsA	protein-level identification attribute	MS:1001085	IsA	single identification result attribute	MS:1002694
MS:1001098MS1	confident distinct peptide sequences	MS:1001098	1	IsA	protein-level identification attribute	MS:1001085	IsA	single identification result attribute	MS:1002694
MS:1001099MS1	confident peptide qualification	MS:1001099	1	IsA	protein-level identification attribute	MS:1001085	IsA	single identification result attribute	MS:1002694
MS:1001100MS1	confident peptide sequence number	MS:1001100	1	IsA	protein-level identification attribute	MS:1001085	IsA	single identification result attribute	MS:1002694
MS:1001101MS1	protein group or subset relationship	MS:1001101	0	IsA	protein-level identification attribute	MS:1001085	IsA	single identification result attribute	MS:1002694
MS:1001102MS1	SEQUEST:Chromatogram	MS:1001102	1	IsA	SEQUEST:ViewCV	MS:1001006	IsA	SEQUEST input parameter	MS:1002096
MS:1001103MS1	SEQUEST:InfoAndLog	MS:1001103	1	IsA	SEQUEST:ViewCV	MS:1001006	IsA	SEQUEST input parameter	MS:1002096
MS:1001104MS1	database UniProtKB/Swiss-Prot	MS:1001104	1	IsA	database UniProtKB	MS:1002126	IsA	database name	MS:1001013
MS:1001105MS1	peptide sequence-level identification attribute	MS:1001105	0	IsA	single identification result attribute	MS:1002694	IsA	identification attribute	MS:1002693
MS:1001106MS1	SEQUEST:TopNumber	MS:1001106	1	IsA	SEQUEST:ProcessCV	MS:1001087	IsA	SEQUEST input parameter	MS:1002096
MS:1001107MS1	data stored in database	MS:1001107	1	IsA	intermediate analysis format	MS:1001040	IsA	file format	MS:1001459
MS:1001108MS1	param: a ion	MS:1001108	1	IsA	ion series considered in search	MS:1002473	IsA	search input details	MS:1001249
MS:1001109MS1	SEQUEST:CullTo	MS:1001109	1	IsA	SEQUEST:ProcessCV	MS:1001087	IsA	SEQUEST input parameter	MS:1002096
MS:1001110MS1	SEQUEST:modeCV	MS:1001110	0	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001111MS1	SEQUEST:Full	MS:1001111	1	IsA	SEQUEST:modeCV	MS:1001110	IsA	SEQUEST input parameter	MS:1002096
MS:1001112MS1	n-terminal flanking residue	MS:1001112	1	IsA	peptide-to-protein mapping attribute	MS:1003046	IsA	peptide-to-protein mapping	MS:1003045
MS:1001112MS1	n-terminal flanking residue	MS:1001112	1	IsA	peptide sequence-level identification attribute	MS:1001105	IsA	single identification result attribute	MS:1002694
MS:1001113MS1	c-terminal flanking residue	MS:1001113	1	IsA	peptide-to-protein mapping attribute	MS:1003046	IsA	peptide-to-protein mapping	MS:1003045
MS:1001113MS1	c-terminal flanking residue	MS:1001113	1	IsA	peptide sequence-level identification attribute	MS:1001105	IsA	single identification result attribute	MS:1002694
MS:1001114MS1	retention time(s)	MS:1001114	1	IsA	peptide sequence-level identification attribute	MS:1001105	IsA	single identification result attribute	MS:1002694
MS:1001114MS1	retention time(s)	MS:1001114	1	HasUnits	second	UO:0000010	IsA	UO:0000003	UO:0000003
MS:1001114MS1	retention time(s)	MS:1001114	1	HasUnits	second	UO:0000010	IsA	UO:0000045	UO:0000045
MS:1001114MS1	retention time(s)	MS:1001114	1	HasUnits	minute	UO:0000031	IsA	UO:0000003	UO:0000003
MS:1001115MS1	scan number(s)	MS:1001115	1						
MS:1001116MS1	single protein identification statistic	MS:1001116	0	IsA	protein-level identification attribute	MS:1001085	IsA	single identification result attribute	MS:1002694
MS:1001117MS1	theoretical neutral mass	MS:1001117	1	IsA	peptide sequence-level identification attribute	MS:1001105	IsA	single identification result attribute	MS:1002694
MS:1001117MS1	theoretical neutral mass	MS:1001117	1	HasUnits	dalton	UO:0000221	IsA	UO:0000002	UO:0000002
MS:1001118MS1	param: b ion	MS:1001118	1	IsA	ion series considered in search	MS:1002473	IsA	search input details	MS:1001249
MS:1001119MS1	param: c ion	MS:1001119	1	IsA	ion series considered in search	MS:1002473	IsA	search input details	MS:1001249
MS:1001120MS1	SEQUEST:FormatAndLinks	MS:1001120	1	IsA	SEQUEST:modeCV	MS:1001110	IsA	SEQUEST input parameter	MS:1002096
MS:1001121MS1	number of matched peaks	MS:1001121	1	IsA	peptide sequence-level identification attribute	MS:1001105	IsA	single identification result attribute	MS:1002694
MS:1001122MS1	ions series considered	MS:1001122	1	IsA	peptide sequence-level identification attribute	MS:1001105	IsA	single identification result attribute	MS:1002694
MS:1001123MS1	number of peaks used	MS:1001123	1	IsA	peptide sequence-level identification attribute	MS:1001105	IsA	single identification result attribute	MS:1002694
MS:1001124MS1	number of peaks submitted	MS:1001124	1	IsA	peptide sequence-level identification attribute	MS:1001105	IsA	single identification result attribute	MS:1002694
MS:1001125MS1	manual validation	MS:1001125	1	IsA	peptide sequence-level identification statistic	MS:1001092	IsA	peptide sequence-level identification attribute	MS:1001105
MS:1001125MS1	manual validation	MS:1001125	1	IsA	single protein identification statistic	MS:1001116	IsA	protein-level identification attribute	MS:1001085
MS:1001126MS1	SEQUEST:Fast	MS:1001126	1	IsA	SEQUEST:modeCV	MS:1001110	IsA	SEQUEST input parameter	MS:1002096
MS:1001127MS1	peptide sharing details	MS:1001127	0	IsA	peptide sequence-level identification attribute	MS:1001105	IsA	single identification result attribute	MS:1002694
MS:1001128MS1	SEQUEST:selectCV	MS:1001128	0	IsA	SEQUEST input parameter	MS:1002096	IsA	search engine specific input parameter	MS:1001302
MS:1001129MS1	quantification information	MS:1001129	0	PartOf	spectrum interpretation	MS:1001000	PartOf	Proteomics Standards Initiative Mass Spectrometry Vocabularies	MS:0000000
MS:1001130MS1	peptide raw area	MS:1001130	1	IsA	peptide-level quantification datatype	MS:1002737	IsA	quantification datatype	MS:1001805
MS:1001131MS1	error on peptide area	MS:1001131	1	IsA	peptide-level quantification datatype	MS:1002737	IsA	quantification datatype	MS:1001805
MS:1001132MS1	peptide ratio	MS:1001132	1	IsA	peptide-level quantification datatype	MS:1002737	IsA	quantification datatype	MS:1001805
MS:1001133MS1	error on peptide ratio	MS:1001133	1	IsA	peptide-level quantification datatype	MS:1002737	IsA	quantification datatype	MS:1001805
MS:1001134MS1	protein ratio	MS:1001134	1	IsA	protein-level quantification datatype	MS:1002738	IsA	quantification datatype	MS:1001805
MS:1001135MS1	error on protein ratio	MS:1001135	1	IsA	protein-level quantification datatype	MS:1002738	IsA	quantification datatype	MS:1001805
MS:1001136MS1	p-value (protein diff from 1 randomly)	MS:1001136	1	IsA	protein-level quantification datatype	MS:1002738	IsA	quantification datatype	MS:1001805
MS:1001137MS1	absolute quantity	MS:1001137	1	IsA	quantification datatype	MS:1001805	IsA	quantification information	MS:1001129
MS:1001138MS1	error on absolute quantity	MS:1001138	1	IsA	quantification datatype	MS:1001805	IsA	quantification information	MS:1001129
MS:1001139MS1	quantitation software name	MS:1001139	0	IsA	software	MS:1000531	PartOf	Proteomics Standards Initiative Mass Spectrometry Vocabularies	MS:0000000
MS:1001139MS1	quantitation software name	MS:1001139	0	IsA	quantification information	MS:1001129	PartOf	spectrum interpretation	MS:1001000
MS:1001140MS1	quantitation software version	MS:1001140	1	IsA	quantification information	MS:1001129	PartOf	spectrum interpretation	MS:1001000
MS:1001141MS1	intensity of precursor ion	MS:1001141	0	IsA	quantification datatype	MS:1001805	IsA	quantification information	MS:1001129
MS:1001142MS1	database IPI_human	MS:1001142	1	IsA	database name	MS:1001013	IsA	search database details	MS:1001011
MS:1001143MS1	PSM-level search engine specific statistic	MS:1001143	0	IsA	PSM-level identification statistic	MS:1002347	IsA	PSM-level attribute	MS:1002345
MS:1001144MS1	SEQUEST:SelectDefault	MS:1001144	1	IsA	SEQUEST:selectCV	MS:1001128	IsA	SEQUEST input parameter	MS:1002096
MS:1001145MS1	SEQUEST:SelectAdvancedCV	MS:1001145	1	IsA	SEQUEST:selectCV	MS:1001128	IsA	SEQUEST input parameter	MS:1002096
MS:1001146MS1	param: a ion-NH3 DEPRECATED	MS:1001146	1	IsA	ions series considered in search	MS:1001066	IsA	search input details	MS:1001249
MS:1001147MS1	protein ambiguity group result details	MS:1001147	1	IsA	protein-level identification attribute	MS:1001085	IsA	single identification result attribute	MS:1002694
MS:1001147MS1	protein ambiguity group result details	MS:1001147	1	IsA	search engine specific score	MS:1001153	IsA	single identification result attribute	MS:1002694
MS:1001148MS1	param: a ion-H2O DEPRECATED	MS:1001148	1	IsA	ions series considered in search	MS:1001066	IsA	search input details	MS:1001249
MS:1001149MS1	param: b ion-NH3 DEPRECATED	MS:1001149	1	IsA	ions series considered in search	MS:1001066	IsA	search input details	MS:1001249
MS:1001150MS1	param: b ion-H2O DEPRECATED	MS:1001150	1	IsA	ions series considered in search	MS:1001066	IsA	search input details	MS:1001249
MS:1001151MS1	param: y ion-NH3 DEPRECATED	MS:1001151	1	IsA	ions series considered in search	MS:1001066	IsA	search input details	MS:1001249
MS:1001152MS1	param: y ion-H2O DEPRECATED	MS:1001152	1	IsA	ions series considered in search	MS:1001066	IsA	search input details	MS:1001249
MS:1001153MS1	search engine specific score	MS:1001153	0	IsA	single identification result attribute	MS:1002694	IsA	identification attribute	MS:1002693
MS:1001154MS1	SEQUEST:probability	MS:1001154	1	IsA	PSM-level search engine specific statistic	MS:1001143	IsA	PSM-level identification statistic	MS:1002347
MS:1001155MS1	SEQUEST:xcorr	MS:1001155	1	IsA	PSM-level search engine specific statistic	MS:1001143	IsA	PSM-level identification statistic	MS:1002347
MS:1001156MS1	SEQUEST:deltacn	MS:1001156	1	IsA	PSM-level search engine specific statistic	MS:1001143	IsA	PSM-level identification statistic	MS:1002347
MS:1001157MS1	SEQUEST:sp	MS:1001157	1	IsA	search engine specific score for proteins	MS:1002363	IsA	single protein identification statistic	MS:1001116
MS:1001158MS1	SEQUEST:Uniq	MS:1001158	1	IsA	search engine specific score for proteins	MS:1002363	IsA	single protein identification statistic	MS:1001116
MS:1001159MS1	SEQUEST:expectation value	MS:1001159	1	IsA	search engine specific score	MS:1001153	IsA	single identification result attribute	MS:1002694
MS:1001160MS1	SEQUEST:sf	MS:1001160	1	IsA	PSM-level search engine specific statistic	MS:1001143	IsA	PSM-level identification statistic	MS:1002347
MS:1001161MS1	SEQUEST:matched ions	MS:1001161	1	IsA	PSM-level search engine specific statistic	MS:1001143	IsA	PSM-level identification statistic	MS:1002347
MS:1001162MS1	SEQUEST:total ions	MS:1001162	1	IsA	PSM-level search engine specific statistic	MS:1001143	IsA	PSM-level identification statistic	MS:1002347
MS:1001163MS1	SEQUEST:consensus score	MS:1001163	1	IsA	search engine specific score	MS:1001153	IsA	single identification result attribute	MS:1002694
MS:1001164MS1	Paragon:unused protscore	MS:1001164	1	IsA	search engine specific score for proteins	MS:1002363	IsA	single protein identification statistic	MS:1001116
MS:1001164MS1	Paragon:unused protscore	MS:1001164	1	IsA	search engine specific score for protein groups	MS:1002368	IsA	protein group-level identification statistic	MS:1002348
MS:1001165MS1	Paragon:total protscore	MS:1001165	1	IsA	search engine specific score for proteins	MS:1002363	IsA	single protein identification statistic	MS:1001116
MS:1001165MS1	Paragon:total protscore	MS:1001165	1	IsA	search engine specific score for protein groups	MS:1002368	IsA	protein group-level identification statistic	MS:1002348
