..\docs\psi-ms_3.84.0.obo /StripQuotes /NoP /NoObsolete

Term_PK	Term_Name	Identifier	Is_Leaf	Definition
MS:1000584MS1	mzML format	MS:1000584	1	Proteomics Standards Inititative mzML file format.
MS:1000585MS1	contact attribute	MS:1000585	0	Details about a person or organization to contact in case of concern or discussion about the file.
MS:1000586MS1	contact name	MS:1000586	1	Name of the contact person or organization.
MS:1000587MS1	contact address	MS:1000587	1	Postal address of the contact person or organization.
MS:1000588MS1	contact URL	MS:1000588	1	Uniform Resource Locator related to the contact person or organization.
MS:1000589MS1	contact email	MS:1000589	1	Email address of the contact person or organization.
MS:1000590MS1	contact affiliation	MS:1000590	1	Home institution of the contact person.
MS:1000591MS1	MzWiff	MS:1000591	1	A software program for converting Applied Biosystems wiff file format to the mzXML or mzML format. MzWiff is currently maintained at the Institute for Systems Biology. It replaces the slower mzStar program.
MS:1000592MS1	smoothing	MS:1000592	0	A process of reducing spikes of intensity in order to reduce noise while preserving real peak signal. Many algorithms can be applied for this process.
MS:1000593MS1	baseline reduction	MS:1000593	0	A process of removal of varying intensities generated due to variable energy absorption before further processing can take place. Baseline reduction facilitates meaningful comparision between intensities of m/z values.
MS:1000594MS1	low intensity data point removal	MS:1000594	1	The removal of very low intensity data points that are likely to be spurious noise rather than real signal.
MS:1000595MS1	time array	MS:1000595	1	A data array of relative time offset values from a reference time.
MS:1000596MS1	measurement method	MS:1000596	0	An attribute of resolution when recording the detector response in absence of the analyte.
MS:1000597MS1	ion optics type	MS:1000597	0	The electrical potential used to impart kinetic energy to ions in a mass spectrometer.
MS:1000598MS1	electron transfer dissociation	MS:1000598	1	A process to fragment ions in a mass spectrometer by inducing fragmentation of cations (e.g. peptides or proteins) by transferring electrons to them.
MS:1000599MS1	pulsed q dissociation	MS:1000599	1	A process that involves precursor ion activation at high Q, a time delay to allow the precursor to fragment, then a rapid pulse to low Q where all fragment ions are trapped. The product ions can then be scanned out of the ion trap and detected.
MS:1000600MS1	Proteios	MS:1000600	1	Database application and analysis platform for proteomics.
MS:1000601MS1	ProteinLynx Global Server	MS:1000601	1	Waters software for data analysis.
MS:1000602MS1	Shimadzu MALDI-TOF instrument model	MS:1000602	0	Shimadzu MALDI-TOF instrument model.
MS:1000603MS1	Shimadzu Scientific Instruments instrument model	MS:1000603	0	Shimadzu Scientific Instruments instrument model.
MS:1000604MS1	LCMS-IT-TOF	MS:1000604	1	Shimadzu Scientific Instruments LCMS-IT-TOF MS.
MS:1000605MS1	LCMS-2010EV	MS:1000605	1	Shimadzu Scientific Instruments LCMS-2010EV MS.
MS:1000606MS1	LCMS-2010A	MS:1000606	1	Shimadzu Scientific Instruments LCMS-2010A MS.
MS:1000607MS1	AXIMA CFR MALDI-TOF	MS:1000607	1	Shimadzu Biotech AXIMA CFR MALDI-TOF MS.
MS:1000608MS1	AXIMA-QIT	MS:1000608	1	Shimadzu Biotech AXIMA-QIT MS.
MS:1000609MS1	AXIMA-CFR plus	MS:1000609	1	Shimadzu Biotech AXIMA-CFR plus MS.
MS:1000610MS1	AXIMA Performance MALDI-TOF/TOF	MS:1000610	1	Shimadzu Biotech AXIMA Performance MALDI-TOF/TOF MS.
MS:1000611MS1	AXIMA Confidence MALDI-TOF	MS:1000611	1	Shimadzu Biotech AXIMA Confidence MALDI-TOF (curved field reflectron) MS.
MS:1000612MS1	AXIMA Assurance Linear MALDI-TOF	MS:1000612	1	Shimadzu Biotech AXIMA Assurance Linear MALDI-TOF MS.
MS:1000613MS1	DTA format	MS:1000613	1	SEQUEST DTA file format.
MS:1000614MS1	ProteinLynx Global Server mass spectrum XML format	MS:1000614	1	Peak list file format used by ProteinLynx Global Server.
MS:1000615MS1	ProteoWizard software	MS:1000615	0	ProteoWizard software for data processing and analysis. Primarily developed by the labs of P. Malick and D. Tabb.
MS:1000616MS1	preset scan configuration	MS:1000616	1	, which is defined in the Thermo Xcalibur glossary as: a mass spectrometer scan that is defined by choosing the necessary scan parameter settings. Multiple scan events can be defined for each segment of time.
MS:1000617MS1	wavelength array	MS:1000617	1	A data array of electromagnetic radiation wavelength values.
MS:1000618MS1	highest observed wavelength	MS:1000618	1	Highest wavelength observed in an EMR spectrum.
MS:1000619MS1	lowest observed wavelength	MS:1000619	1	Lowest wavelength observed in an EMR spectrum.
MS:1000621MS1	photodiode array detector	MS:1000621	0	An array detector used to record spectra in the ultraviolet and visible region of light.
MS:1000622MS1	Surveyor PDA	MS:1000622	1	Surveyor PDA.
MS:1000623MS1	Accela PDA	MS:1000623	1	Accela PDA.
MS:1000624MS1	inductive detector	MS:1000624	1	Inductive detector.
MS:1000625MS1	chromatogram	MS:1000625	0	The representation of detector response versus time.
MS:1000626MS1	chromatogram type	MS:1000626	0	Broad category or type of a chromatogram.
MS:1000627MS1	selected ion current chromatogram	MS:1000627	1	Chromatogram created by creating an array of the measurements of a specific single ion current at each time point.
MS:1000628MS1	basepeak chromatogram	MS:1000628	1	Chromatogram created by creating an array of the most intense peaks at each time point.
MS:1000629MS1	low intensity threshold	MS:1000629	1	Threshold below which some action is taken.
MS:1000630MS1	data processing parameter	MS:1000630	0	Data processing parameter used in the data processing performed on the data file.
MS:1000631MS1	high intensity threshold	MS:1000631	1	Threshold above which some action is taken.
MS:1000632MS1	Q-Tof Premier	MS:1000632	1	Waters oa-ToF based Q-Tof Premier.
MS:1000633MS1	possible charge state	MS:1000633	1	A possible charge state of the ion in a situation where the charge of an ion is known to be one of several possible values rather than a completely unknown value or determined to be a specific charge with reasonable certainty.
MS:1000634MS1	DSQ	MS:1000634	1	ThermoFinnigan DSQ GC-MS.
MS:1000635MS1	ITQ 700	MS:1000635	1	Thermo Scientific ITQ 700 GC-MS.
MS:1000636MS1	ITQ 900	MS:1000636	1	Thermo Scientific ITQ 900 GC-MS.
MS:1000637MS1	ITQ 1100	MS:1000637	1	Thermo Scientific ITQ 1100 GC-MS.
MS:1000638MS1	LTQ XL ETD	MS:1000638	1	Thermo Scientific LTQ XL MS with ETD.
MS:1000639MS1	LTQ Orbitrap XL ETD	MS:1000639	1	Thermo Scientific LTQ Orbitrap XL MS with ETD.
MS:1000640MS1	DFS	MS:1000640	1	Thermo Scientific DFS HR GC-MS.
MS:1000641MS1	DSQ II	MS:1000641	1	Thermo Scientific DSQ II GC-MS.
MS:1000642MS1	MALDI LTQ XL	MS:1000642	1	Thermo Scientific MALDI LTQ XL MS.
MS:1000643MS1	MALDI LTQ Orbitrap	MS:1000643	1	Thermo Scientific MALDI LTQ Orbitrap MS.
MS:1000644MS1	TSQ Quantum Access	MS:1000644	1	Thermo Scientific TSQ Quantum Access MS.
MS:1000645MS1	Element XR	MS:1000645	1	Thermo Scientific Element XR HR-ICP-MS.
MS:1000646MS1	Element 2	MS:1000646	1	Thermo Scientific Element 2 HR-ICP-MS.
MS:1000647MS1	Element GD	MS:1000647	1	Thermo Scientific Element GD Glow Discharge MS.
MS:1000648MS1	GC IsoLink	MS:1000648	1	Thermo Scientific GC IsoLink Isotope Ratio MS.
MS:1000649MS1	Exactive	MS:1000649	1	Thermo Scientific Exactive MS.
MS:1000650MS1	Proteome Discoverer	MS:1000650	1	Thermo Scientific software for data analysis of peptides and proteins.
MS:1000651MS1	3200 QTRAP	MS:1000651	1	SCIEX or Applied Biosystems|MDS SCIEX QTRAP 3200.
MS:1000652MS1	4800 Plus MALDI TOF/TOF	MS:1000652	1	SCIEX or Applied Biosystems|MDS SCIEX 4800 Plus MALDI TOF-TOF Analyzer.
MS:1000653MS1	API 3200	MS:1000653	1	SCIEX or Applied Biosystems|MDS SCIEX API 3200 MS.
MS:1000654MS1	API 5000	MS:1000654	1	SCIEX or Applied Biosystems|MDS SCIEX API 5000 MS.
MS:1000655MS1	QSTAR Elite	MS:1000655	1	SCIEX or Applied Biosystems|MDS SCIEX QSTAR Elite.
MS:1000656MS1	QSTAR Pulsar	MS:1000656	1	Applied Biosystems|MDS SCIEX QSTAR Pulsar.
MS:1000657MS1	QSTAR XL	MS:1000657	1	Applied Biosystems|MDS SCIEX QSTAR XL.
MS:1000658MS1	4800 Proteomics Analyzer	MS:1000658	1	Applied Biosystems|MDS SCIEX 4800 Proteomics Analyzer.
MS:1000659MS1	4000 Series Explorer Software	MS:1000659	1	SCIEX or Applied Biosystems software for data acquisition and analysis.
MS:1000661MS1	GPS Explorer	MS:1000661	1	SCIEX or Applied Biosystems software for data acquisition and analysis.
MS:1000662MS1	LightSight Software	MS:1000662	1	SCIEX or Applied Biosystems|MDS SCIEX software metabolite identification.
MS:1000663MS1	ProteinPilot Software	MS:1000663	1	SCIEX or Applied Biosystems|MDS SCIEX software for protein ID and quant.
MS:1000664MS1	TissueView Software	MS:1000664	1	Applied Biosystems|MDS SCIEX software for tissue imaging.
MS:1000665MS1	MarkerView Software	MS:1000665	1	Applied Biosystems|MDS SCIEX software for metabolomics and biomarker profiling.
MS:1000666MS1	MRMPilot Software	MS:1000666	1	Applied Biosystems|MDS SCIEX software for MRM assay development.
MS:1000667MS1	BioAnalyst	MS:1000667	1	Applied Biosystems|MDS SCIEX software for bio-related data exploration.
MS:1000668MS1	Pro ID	MS:1000668	1	Applied Biosystems|MDS SCIEX software for protein identification.
MS:1000669MS1	Pro ICAT	MS:1000669	1	Applied Biosystems|MDS SCIEX software for protein ID and quant by ICAT.
MS:1000670MS1	Pro Quant	MS:1000670	1	Applied Biosystems|MDS SCIEX software for protein ID and quant by iTRAQ.
MS:1000671MS1	Pro BLAST	MS:1000671	1	Applied Biosystems|MDS SCIEX software for MS-BLAST identification.
MS:1000672MS1	Cliquid	MS:1000672	1	SCIEX Cliquid software for data analysis and quantitation.
MS:1000673MS1	MIDAS Workflow Designer	MS:1000673	1	Applied Biosystems|MDS SCIEX software for MRM assay development.
MS:1000674MS1	MultiQuant	MS:1000674	1	Applied Biosystems|MDS SCIEX software for MRM-based quantitation.
MS:1000675MS1	6220 Time-of-Flight LC/MS	MS:1000675	1	The 6220 Time-of-Flight LC/MS is a Agilent liquid chromatography instrument combined with a Agilent time of flight mass spectrometer. This time of flight mass spectrometer has a m/z range of 50-12000, mass accuracy of less than 2 ppm and resolution greater than 13,000 at m/z 2722. It has multiple ion sources and can be used with multimode ion sources.
MS:1000676MS1	6510 Quadrupole Time-of-Flight LC/MS	MS:1000676	1	The 6510 Quadrupole Time-of-Flight LC/MS is a Agilent liquid chromatography instrument combined with a Agilent time of flight mass spectrometer. This time of flight mass spectrometer has a m/z range of 50-12000, mass accuracy of less than 2 ppm and resolution greater than 13,000 at m/z 2722. It has multiple ion sources and can be used with multimode ion sources.
MS:1000677MS1	6520 Quadrupole Time-of-Flight LC/MS	MS:1000677	1	The 6520 Quadrupole Time-of-Flight LC/MS is a Agilent liquid chromatography instrument combined with a Agilent time of flight mass spectrometer. This time of flight mass spectrometer has a m/z range of 50-12000, mass accuracy of less than 2 ppm and resolution greater than 26,000 at m/z 2722. It has multiple ion sources and can be used with multimode ion sources.
MS:1000678MS1	MassHunter Data Acquisition	MS:1000678	1	Software for data acquisition of 6000 series instruments.
MS:1000679MS1	MassHunter Easy Access	MS:1000679	1	Software for open access data acquisition.
MS:1000680MS1	MassHunter Qualitative Analysis	MS:1000680	1	Software for data analysis of data from 6000 series instruments.
MS:1000681MS1	MassHunter Quantitative Analysis	MS:1000681	1	Software for quantitation of Triple Quadrupole and Quadrupole Time-of-Flight data.
MS:1000682MS1	MassHunter Metabolite ID	MS:1000682	1	Software for identification of metabolites.
MS:1000683MS1	MassHunter BioConfirm	MS:1000683	1	Software for protein characterization.
MS:1000684MS1	Genespring MS	MS:1000684	1	Software for quantitation and statistical analysis of TOF and Q-TOF LC/MS data.
MS:1000685MS1	MassHunter Mass Profiler	MS:1000685	1	Software for quantitation and statistical analysis of TOF and Q-TOF LC/MS data.
MS:1000686MS1	METLIN	MS:1000686	1	Personal Metabolite Database for MassHunter Workstation. Software for identification of human metabolites.
MS:1000687MS1	Spectrum Mill for MassHunter Workstation	MS:1000687	1	Software for protein identification and characterization of complex protein digest mixtures.
MS:1000688MS1	6300 Series Ion Trap Data Analysis Software	MS:1000688	1	Software for data analysis of 6300 series ion trap mass spectrometers.
MS:1000689MS1	Agilent software	MS:1000689	0	Agilent software for data acquisition and analysis.
MS:1000690MS1	SCIEX software	MS:1000690	0	SCIEX or Applied Biosystems software for data acquisition and analysis.
MS:1000691MS1	Applied Biosystems software	MS:1000691	0	Applied Biosystems|MDS SCIEX software for data acquisition and analysis.
MS:1000692MS1	Bruker software	MS:1000692	0	Bruker software for data acquisition and analysis.
MS:1000693MS1	Thermo Finnigan software	MS:1000693	0	Thermo Finnigan software for data acquisition and analysis.
MS:1000694MS1	Waters software	MS:1000694	0	Waters software for data acquisition and analysis.
MS:1000695MS1	apex ultra	MS:1000695	1	Bruker Daltonics' apex ultra: ESI, MALDI, Nanospray, APCI, APPI, Qh-FT_ICR.
MS:1000696MS1	autoflex III smartbeam	MS:1000696	1	Bruker Daltonics' autoflex III smartbeam: MALDI TOF.
MS:1000697MS1	Bruker Daltonics HCT Series	MS:1000697	0	Bruker Daltonics' HCT Series.
MS:1000698MS1	HCTultra	MS:1000698	1	Bruker Daltonics' HCTultra: ESI TOF, Nanospray, APCI, APPI.
MS:1000699MS1	HCTultra PTM	MS:1000699	1	Bruker Daltonics' HCTultra PTM: ESI TOF, Nanospray, APCI, APPI, PTR.
MS:1000700MS1	HCTultra ETD II	MS:1000700	1	Bruker Daltonics' HCTultra ETD II: ESI Q-TOF, Nanospray, APCI, APPI, ETD.
MS:1000701MS1	microflex LT	MS:1000701	1	Bruker Daltonics' microflex LT: MALDI TOF.
MS:1000702MS1	micrOTOF	MS:1000702	1	Bruker Daltonics' micrOTOF: ESI TOF, APCI, APPI.
MS:1000703MS1	micrOTOF-Q	MS:1000703	1	Bruker Daltonics' micrOTOF-Q: ESI Q-TOF, Nanospray, APCI, APPI.
MS:1000704MS1	micrOTOF-Q II	MS:1000704	1	Bruker Daltonics' micrOTOF-Q II: ESI Q-TOF, Nanospray, APCI, APPI.
MS:1000705MS1	ultraflex III TOF/TOF	MS:1000705	1	Bruker Daltonics' ultraflex III TOF/TOF: MALDI TOF.
MS:1000706MS1	apexControl	MS:1000706	1	Bruker software for data acquisition.
MS:1000707MS1	BioTools	MS:1000707	1	Bruker software for data analysis.
MS:1000708MS1	CLINPROT	MS:1000708	1	Bruker CLINPROT software.
MS:1000709MS1	CLINPROT micro	MS:1000709	1	Bruker CLINPROT micro software.
MS:1000710MS1	CLINPROT robot	MS:1000710	1	Bruker CLINPROT robot software.
MS:1000711MS1	ClinProTools	MS:1000711	1	Bruker ClinProTools software.
MS:1000712MS1	Compass	MS:1000712	1	Bruker Compass software.
MS:1000713MS1	Compass for HCT/esquire	MS:1000713	1	Bruker Compass for HCT/esquire software.
MS:1000714MS1	Compass for micrOTOF	MS:1000714	1	Bruker Compass for micrOTOF software.
MS:1000715MS1	Compass OpenAccess	MS:1000715	1	Bruker compass OpenAccess software.
MS:1000716MS1	Compass Security Pack	MS:1000716	1	Bruker compass Security Pack software.
MS:1000717MS1	CompassXport	MS:1000717	1	Bruker stand-alone software for data conversion.
MS:1000718MS1	CompassXtract	MS:1000718	1	Bruker software library for data access.
MS:1000719MS1	DataAnalysis	MS:1000719	1	Bruker software for data analysis.
MS:1000720MS1	dpControl	MS:1000720	1	Bruker software for data acquisition.
MS:1000721MS1	esquireControl	MS:1000721	1	Bruker software for data acquisition.
MS:1000722MS1	flexImaging	MS:1000722	1	Bruker software for data analysis.
MS:1000723MS1	GENOLINK	MS:1000723	1	Bruker GENOLINK software.
MS:1000724MS1	GenoTools	MS:1000724	1	Bruker GenoTools software.
MS:1000725MS1	HCTcontrol	MS:1000725	1	Bruker software for data acquisition.
MS:1000726MS1	micrOTOFcontrol	MS:1000726	1	Bruker software for data acquisition.
MS:1000727MS1	PolyTools	MS:1000727	1	Bruker PolyTools software.
MS:1000728MS1	ProfileAnalysis	MS:1000728	1	Bruker software for data analysis.
MS:1000729MS1	PROTEINEER	MS:1000729	1	Bruker PROTEINEER software.
MS:1000730MS1	PROTEINEER dp	MS:1000730	1	Bruker PROTEINEER dp software.
MS:1000731MS1	PROTEINEER fc	MS:1000731	1	Bruker PROTEINEER fc software.
MS:1000732MS1	PROTEINEER spII	MS:1000732	1	Bruker PROTEINEER spII software.
MS:1000733MS1	PROTEINEER-LC	MS:1000733	1	Bruker PROTEINEER-LC software.
MS:1000734MS1	ProteinScape	MS:1000734	1	Bruker ProteinScape software.
MS:1000735MS1	PureDisk	MS:1000735	1	BrukerPureDisk software.
MS:1000736MS1	QuantAnalysis	MS:1000736	1	Bruker software for data analysis.
MS:1000737MS1	spControl	MS:1000737	1	Bruker software for data acquisition.
MS:1000738MS1	TargetAnalysis	MS:1000738	1	Bruker TargetAnalysis software.
MS:1000739MS1	WARP-LC	MS:1000739	1	Bruker WARP-LC software.
MS:1000740MS1	parameter file	MS:1000740	1	Parameter file used to configure the acquisition of raw data on the instrument.
MS:1000741MS1	Conversion to dta	MS:1000741	1	Conversion to dta format.
MS:1000742MS1	Bioworks SRF format	MS:1000742	1	Thermo Finnigan SRF file format.
MS:1000743MS1	TSQ Quantum Ultra AM	MS:1000743	1	Thermo Scientific TSQ Quantum Ultra AM.
MS:1000744MS1	selected ion m/z	MS:1000744	1	Mass-to-charge ratio of an selected ion.
MS:1000745MS1	retention time alignment	MS:1000745	1	The correction of the spectrum scan times, as used e.g. in label-free proteomics.
MS:1000746MS1	high intensity data point removal	MS:1000746	1	The removal of very high intensity data points.
MS:1000747MS1	completion time	MS:1000747	1	The time that a data processing action was finished.
MS:1000748MS1	SSQ 7000	MS:1000748	1	ThermoFinnigan SSQ 7000 MS.
MS:1000749MS1	TSQ 7000	MS:1000749	1	ThermoFinnigan TSQ 7000 MS.
MS:1000750MS1	TSQ	MS:1000750	1	ThermoFinnigan TSQ MS.
MS:1000751MS1	TSQ Quantum Ultra	MS:1000751	1	Thermo Scientific TSQ Quantum Ultra.
MS:1000752MS1	TOPP software	MS:1000752	0	TOPP (The OpenMS proteomics pipeline) software.
MS:1000753MS1	BaselineFilter	MS:1000753	1	Removes the baseline from profile spectra using a top-hat filter.
MS:1000754MS1	DBExporter	MS:1000754	1	Exports data from an OpenMS database to a file.
MS:1000755MS1	DBImporter	MS:1000755	1	Imports data to an OpenMS database.
MS:1000756MS1	FileConverter	MS:1000756	1	Converts between different MS file formats.
MS:1000757MS1	FileFilter	MS:1000757	1	Extracts or manipulates portions of data from peak, feature or consensus feature files.
MS:1000758MS1	FileMerger	MS:1000758	1	Merges several MS files into one file.
MS:1000759MS1	InternalCalibration	MS:1000759	1	Applies an internal calibration.
MS:1000761MS1	MapNormalizer	MS:1000761	1	Normalizes peak intensities in an MS run.
MS:1000764MS1	Resampler	MS:1000764	1	Transforms an LC/MS map into a resampled map or a png image.
MS:1000766MS1	TOFCalibration	MS:1000766	1	Applies time of flight calibration.
MS:1000767MS1	native spectrum identifier format	MS:1000767	0	Describes how the native spectrum identifiers are formated.
MS:1000768MS1	Thermo nativeID format	MS:1000768	1	Native format defined by controllerType=xsd:nonNegativeInteger controllerNumber=xsd:positiveInteger scan=xsd:positiveInteger.
MS:1000769MS1	Waters nativeID format	MS:1000769	1	Native format defined by function=xsd:positiveInteger process=xsd:nonNegativeInteger scan=xsd:nonNegativeInteger.
MS:1000770MS1	WIFF nativeID format	MS:1000770	1	Native format defined by sample=xsd:nonNegativeInteger period=xsd:nonNegativeInteger cycle=xsd:nonNegativeInteger experiment=xsd:nonNegativeInteger.
MS:1000771MS1	Bruker/Agilent YEP nativeID format	MS:1000771	1	Native format defined by scan=xsd:nonNegativeInteger.
MS:1000772MS1	Bruker BAF nativeID format	MS:1000772	1	Native format defined by scan=xsd:nonNegativeInteger.
MS:1000773MS1	Bruker FID nativeID format	MS:1000773	1	Native format defined by file=xsd:IDREF.
MS:1000774MS1	multiple peak list nativeID format	MS:1000774	1	Native format defined by index=xsd:nonNegativeInteger.
MS:1000775MS1	single peak list nativeID format	MS:1000775	1	Native format defined by file=xsd:IDREF.
MS:1000776MS1	scan number only nativeID format	MS:1000776	1	Native format defined by scan=xsd:nonNegativeInteger.
MS:1000777MS1	spectrum identifier nativeID format	MS:1000777	1	Native format defined by spectrum=xsd:nonNegativeInteger.
MS:1000778MS1	charge state calculation	MS:1000778	0	A process that infers the charge state of an MSn spectrum's precursor(s) by the application of some algorithm.
MS:1000779MS1	below precursor intensity dominance charge state calculation	MS:1000779	1	Infers charge state as single or ambiguously multiple by determining the fraction of intensity below the precursor m/z.
MS:1000780MS1	precursor recalculation	MS:1000780	0	A process that recalculates existing precursor selected ions with one or more algorithmically determined precursor selected ions.
MS:1000781MS1	msPrefix precursor recalculation	MS:1000781	1	Recalculates one or more precursor selected ions by peak detection in the isolation windows of high accuracy MS precursor scans.
MS:1000782MS1	Savitzky-Golay smoothing	MS:1000782	1	Reduces intensity spikes by applying local polynomial regression (of degree k) on a distribution (of at least k+1 equally spaced points) to determine the smoothed value for each point. It tends to preserve features of the distribution such as relative maxima, minima and width, which are usually 'flattened' by other adjacent averaging techniques.
MS:1000783MS1	LOWESS smoothing	MS:1000783	1	Reduces intensity spikes by applying a modelling method known as locally weighted polynomial regression. At each point in the data set a low-degree polynomial is fit to a subset of the data, with explanatory variable values near the point whose response is being estimated. The polynomial is fit using weighted least squares, giving more weight to points near the point whose response is being estimated and less weight to points further away. The value of the regression function for the point is then obtained by evaluating the local polynomial using the explanatory variable values for that data point. The LOESS fit is complete after regression function values have been computed for each of the n data points. Many of the details of this method, such as the degree of the polynomial model and the weights, are flexible.
MS:1000784MS1	Gaussian smoothing	MS:1000784	1	Reduces intensity spikes by convolving the data with a one-dimensional Gaussian function.
MS:1000785MS1	moving average smoothing	MS:1000785	1	Reduces intensity spikes by averaging each point with two or more adjacent points. The more adjacent points that used, the stronger the smoothing effect.
MS:1000786MS1	non-standard data array	MS:1000786	1	A data array that contains data not covered by any other term in this group. Please do not use this term, if the binary data array type might be commonly used - contact the PSI-MS working group in order to have another CV term added.
MS:1000787MS1	inclusive low intensity threshold	MS:1000787	1	Threshold at or below which some action is taken.
MS:1000788MS1	inclusive high intensity threshold	MS:1000788	1	Threshold at or above which some action is taken.
MS:1000789MS1	enhanced multiply charged spectrum	MS:1000789	1	MS1 spectrum that is enriched in multiply-charged ions compared to singly-charged ions.
MS:1000790MS1	time-delayed fragmentation spectrum	MS:1000790	1	MSn spectrum in which the product ions are collected after a time delay, which allows the observation of lower energy fragmentation processes after precursor ion activation.
MS:1000792MS1	isolation window attribute	MS:1000792	0	Isolation window parameter.
MS:1000795MS1	no combination	MS:1000795	1	Use this term if only one scan was recorded or there is no information about scans available.
MS:1000796MS1	spectrum title	MS:1000796	1	A free-form text title describing a spectrum.
MS:1000797MS1	peak list scans	MS:1000797	1	A list of scan numbers and or scan ranges associated with a peak list. If possible the list of scans should be converted to native spectrum identifiers instead of using this term.
MS:1000798MS1	peak list raw scans	MS:1000798	1	A list of raw scans and or scan ranges used to generate a peak list. If possible the list of scans should be converted to native spectrum identifiers instead of using this term.
MS:1000799MS1	custom unreleased software tool	MS:1000799	1	A software tool that has not yet been released. The value should describe the software. Please do not use this term for publicly available software - contact the PSI-MS working group in order to have another CV term added.
MS:1000800MS1	mass resolving power	MS:1000800	1	The observed mass divided by the difference between two masses that can be separated: m/dm. The procedure by which dm was obtained and the mass at which the measurement was made should be reported.
MS:1000801MS1	area peak picking	MS:1000801	0	Spectral peak processing conducted on the acquired data to convert profile data to centroided data. The area defined by all raw data points that belong to the peak is reported.
MS:1000802MS1	height peak picking	MS:1000802	1	Spectral peak processing conducted on the acquired data to convert profile data to centroided data. The maximum intensity of all raw data points that belong to the peak is reported.
MS:1000803MS1	analyzer scan offset	MS:1000803	1	Offset between two analyzers in a constant neutral loss or neutral gain scan. The value corresponds to the neutral loss or neutral gain value.
MS:1000804MS1	electromagnetic radiation spectrum	MS:1000804	1	A plot of the relative intensity of electromagnetic radiation as a function of the wavelength.
MS:1000805MS1	emission spectrum	MS:1000805	1	A plot of the relative intensity of electromagnetic radiation emitted by atoms or molecules when excited.
MS:1000806MS1	absorption spectrum	MS:1000806	1	A plot of the relative intensity of electromagnetic radiation absorbed by atoms or molecules when excited.
MS:1000807MS1	Th/s	MS:1000807	0	Unit describing the scan rate of a spectrum in Thomson per second.
MS:1000808MS1	chromatogram attribute	MS:1000808	0	Chromatogram properties that are associated with a value.
MS:1000809MS1	chromatogram title	MS:1000809	1	A free-form text title describing a chromatogram.
MS:1000810MS1	mass chromatogram	MS:1000810	0	A plot of the relative abundance of a beam or other collection of ions as a function of the retention time.
MS:1000811MS1	electromagnetic radiation chromatogram	MS:1000811	0	The measurement of electromagnetic properties as a function of the retention time.
MS:1000812MS1	absorption chromatogram	MS:1000812	1	The measurement of light absorbed by the sample as a function of the retention time.
MS:1000813MS1	emission chromatogram	MS:1000813	1	The measurement of light emitted by the sample as a function of the retention time.
MS:1000814MS1	counts per second	MS:1000814	0	The number of counted events observed per second in one or a group of elements of a detector.
MS:1000815MS1	Bruker BAF format	MS:1000815	1	Bruker BAF raw file format.
MS:1000816MS1	Bruker U2 format	MS:1000816	1	Bruker HyStar U2 file format.
MS:1000817MS1	HyStar	MS:1000817	1	Bruker software for hyphenated experiments.
MS:1000818MS1	Acquity UPLC PDA	MS:1000818	1	Acquity UPLC Photodiode Array Detector.
MS:1000819MS1	Acquity UPLC FLR	MS:1000819	1	Acquity UPLC Fluorescence Detector.
MS:1000820MS1	flow rate array	MS:1000820	1	A data array of flow rate measurements.
MS:1000821MS1	pressure array	MS:1000821	1	A data array of pressure measurements.
MS:1000822MS1	temperature array	MS:1000822	1	A data array of temperature measurements.
MS:1000823MS1	Bruker U2 nativeID format	MS:1000823	1	Native format defined by declaration=xsd:nonNegativeInteger collection=xsd:nonNegativeInteger scan=xsd:nonNegativeInteger.
MS:1000824MS1	no nativeID format	MS:1000824	1	No nativeID format indicates that the file tagged with this term does not contain spectra that can have a nativeID format.
MS:1000825MS1	Bruker FID format	MS:1000825	1	Bruker FID file format.
MS:1000826MS1	elution time	MS:1000826	1	The time of elution from all used chromatographic columns (one or more) in the chromatographic separation step, relative to the start of the chromatography.
MS:1000827MS1	isolation window target m/z	MS:1000827	1	The primary or reference m/z about which the isolation window is defined.
MS:1000828MS1	isolation window lower offset	MS:1000828	1	The extent of the isolation window in m/z below the isolation window target m/z. The lower and upper offsets may be asymmetric about the target m/z.
MS:1000829MS1	isolation window upper offset	MS:1000829	1	The extent of the isolation window in m/z above the isolation window target m/z. The lower and upper offsets may be asymmetric about the target m/z.
MS:1000831MS1	sample preparation	MS:1000831	0	Properties of the preparation steps which took place before the measurement was performed.
MS:1000832MS1	MALDI matrix application	MS:1000832	0	Attributes to describe the technique how the sample is prepared with the matrix solution.
MS:1000833MS1	matrix application type	MS:1000833	0	Describes the technique how the matrix is put on the sample target.
MS:1000834MS1	matrix solution	MS:1000834	1	Describes the chemical solution used as matrix.
MS:1000835MS1	matrix solution concentration	MS:1000835	1	Concentration of the chemical solution used as matrix.
MS:1000836MS1	dried droplet MALDI matrix preparation	MS:1000836	1	Dried droplet in MALDI matrix preparation.
MS:1000837MS1	printed MALDI matrix preparation	MS:1000837	1	Printed MALDI matrix preparation.
MS:1000838MS1	sprayed MALDI matrix preparation	MS:1000838	1	Sprayed MALDI matrix preparation.
MS:1000839MS1	precoated MALDI sample plate	MS:1000839	1	Precoated MALDI sample plate.
MS:1000840MS1	laser	MS:1000840	0	Device that emits light (electromagnetic radiation) through a process called stimulated emission. The term is an acronym for Light Amplification by Stimulated Emission of Radiation.
MS:1000841MS1	laser attribute	MS:1000841	0	Laser properties that are associated with a value.
